"season","mode","route_or_line","daytype","direction","timeperiod_id","avg_weekday","precision","source"
"Fall 2018","Bus","10","Weekday",1,5,"255.3600000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,0,"56.2500000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,2,"85.0500000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,1,"22.9200000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,6,"214.5000000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,7,"16.5000000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,3,"116.4800000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,4,"173.0700000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,8,"8.1000000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,5,"402.0000000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",0,0,"4.4000000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,2,"927.2900000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,1,"210.7800000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,6,"55.2800000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,7,"8.8000000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,3,"274.2300000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,4,"232.9800000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,8,"1.1000000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,5,"187.5600000000","High","APC Composite Day"
"Fall 2018","Bus","11","Weekday",1,0,"58.5900000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",0,2,"71.2000000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",0,1,"93.8000000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",0,6,"18.7000000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",0,3,"121.5600000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",0,4,"152.3700000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",0,5,"170.8800000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",0,0,"9.9000000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",1,2,"126.1200000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",1,1,"110.4000000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",1,6,"15.2000000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",1,3,"116.4000000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",1,4,"191.5200000000","High","APC Composite Day"
"Fall 2018","Bus","14","Weekday",1,5,"100.0500000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,2,"213.3600000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,1,"82.9200000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,6,"395.4500000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,7,"167.7000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,3,"480.5600000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,4,"741.9200000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,8,"41.7000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,5,"622.3500000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",0,0,"11.4000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,2,"547.1200000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,1,"481.1000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,6,"235.6800000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,7,"100.5000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,3,"597.3000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,4,"403.5700000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,8,"15.4000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,5,"350.1000000000","High","APC Composite Day"
"Fall 2018","Bus","15","Weekday",1,0,"121.8400000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,2,"412.0000000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,1,"378.3300000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,6,"266.3200000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,7,"87.7000000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,3,"486.1600000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,4,"664.9400000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,8,"27.2000000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,5,"435.3300000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",0,0,"117.4900000000","High","APC Composite Day"
